600400,20010108,红豆股份,
600403,20031009,ST大有,
600405,20040401,动力源,
600406,20031016,国电南瑞,
600408,20030212,ST安泰,
600409,20030618,三友化工,
600410,20040427,华胜天成,
600415,20020509,小商品城,
600416,20020718,湘电股份,
600418,20010824,江淮汽车,
600419,20010628,天润乳业,
600420,20040616,国药现代,
600421,20040607,华嵘控股,
600422,20001206,昆药集团,
600423,20030717,柳化股份,
600425,20030724,青松建化,
600426,20020620,华鲁恒升,
600428,20020418,中远海特,
600429,20030915,三元股份,
600433,20030619,冠豪高新,
600435,20030704,北方导航,
600436,20030616,片仔癀,
600438,20040302,通威股份,
600439,20030710,瑞贝卡,
600444,20040219,国机通用,
600446,20031224,金证股份,
600448,20010903,华纺股份,
600449,20030829,宁夏建材,
600452,20040303,涪陵电力,
600455,20040329,博通股份,
600456,20020412,宝钛股份,
600458,20021219,时代新材,
600459,20030516,贵研铂业,
600460,20030311,士兰微,
600461,20040601,洪城环境,
600462,20030903,ST九有,
600463,20040318,空港股份,
600466,20010212,蓝光发展,1
600467,20040405,好当家,
600468,20010615,百利电气,
600469,20031021,风神股份,
600470,20040305,六国化工,
600475,20030721,华光环能,
600476,20031210,湘邮科技,
600477,20031110,杭萧钢构,
600478,20030918,科力远,
600479,20040312,千金药业,
600480,20030815,凌云股份,
600481,20030422,双良节能,
600482,20040714,中国动力,
600483,20040531,福能股份,
600486,20020425,扬农化工,
600487,20030822,亨通光电,
600488,20010618,天药股份,
600489,20030814,中金黄金,
600490,20030626,鹏欣资源,
600491,20040524,龙元建设,
600493,20040421,凤竹纺织,
600495,20040526,晋西车轴,
600496,20020605,精工钢构,
600497,20040420,驰宏锌锗,
600498,20010823,烽火通信,
600499,20021010,科达制造,
600500,20000301,中化国际,
600501,20010615,航天晨光,
600502,20030415,安徽建工,
600503,20020709,华丽家族,
600505,20020530,西昌电力,
600506,20011226,*ST香梨,
600507,20030930,方大特钢,
600508,20010829,上海能源,
600509,20020228,天富能源,
600510,20020618,黑牡丹,
600511,20021127,国药股份,
600512,20021226,腾达建设,
600513,20030319,联环药业,
600515,20020806,*ST基础,
600516,20020830,方大炭素,
600517,20031010,国网英大,
600518,20010319,*ST康美,
600519,20010827,贵州茅台,
600520,20020108,文一科技,
600521,20030304,华海药业,
600522,20021024,中天科技,
600523,20011227,贵航股份,
600525,20021202,长园集团,
600526,20020722,菲达环保,
600527,20031127,江南高纤,
600528,20010528,中铁工业,
600529,20020603,山东药玻,
600530,20010702,交大昂立,
600531,20020730,豫光金铅,
600532,20021031,未来股份,1
600533,20020328,栖霞建设,
600535,20020823,天士力,
600536,20020517,中国软件,
600537,20030123,亿晶光电,
600538,20030114,国发股份,
600539,20010824,狮头股份,
600540,20040107,新赛股份,
600543,20040324,莫高股份,
600545,20031203,卓郎智能,
600546,20030731,山煤国际,
600547,20030828,山东黄金,
600548,20011225,深高速,
600549,20021107,厦门钨业,
600550,20010228,保变电气,
600551,20020905,时代出版,
600552,20021108,凯盛科技,
600555,20010328,*ST海创,1
600556,20010807,天下秀,
600557,20020918,康缘药业,
600558,20010227,大西洋,
600559,20021029,老白干酒,
600560,20020919,金自天正,
600561,20020716,江西长运,
600562,20030128,国睿科技,
600563,20021210,法拉电子,
600565,20020723,迪马股份,
600566,20010822,济川药业,
600567,20011218,山鹰国际,
600568,20010518,ST中珠,
600569,20010820,安阳钢铁,
600570,20031216,恒生电子,
600571,20021101,信雅达,
600572,20040412,康恩贝,
600573,20030226,惠泉啤酒,
600575,20030328,淮河能源,
600576,20030220,祥源文化,
600577,20020911,精达股份,
