名称	代码	最新价	日涨幅	溢价率	日均成交（万）	近一月	年初至今	近一年	近三年	近五年	规模（亿）	运作费率	跟踪指数	上市日期	基金公司	分类
平安创业板ETF	159964	1.737	-0.0063	-0.0017	28.68	0.1428	-0.1502	-0.1426	0.8901	-	3.82	0.002	创业板R指数	43574	平安基金	宽基，中小盘
深价值ETF	159913	1.989	-0.0104	-0.0114	2.57	0.0408	-0.1493	-0.1798	0.0327	0.1735	0.441	0.006	深证价值指数	40841	交银施罗德基金	策略，价值
国企ETF	510270	1.268	-0.0208	-0.0086	6.19	0.0218	-0.069	-0.0523	0.095	0.1906	0.111	0.006	上证国企指数	40773	中银基金	主题，国企
上证龙头ETF	510190	3.745	-0.0145	-0.0019	7.05	0.0345	-0.1092	-0.0954	0.1196	0.0303	0.527	0.006	上证龙头指数	40553	华安基金	宽基，大盘股
央企ETF	510060	1.98	-0.0179	-0.0005	18.45	0.0323	-0.0571	-0.0426	0.0366	0.1559	0.796	0.006	上证央企指数	40113	工银瑞信基金	主题，央企
国投金融地产ETF	159933	2.233	-0.0146	-0.0045	5.49	0.0633	-0.0818	-0.0901	0.0439	0.33	1.67	0.0073	300金融指数	41563	国投瑞银基金	行业，金融，房地产
AIETF	512930	1.158	-0.0086	-0.0026	27.75	0.0376	-0.2505	-0.2086	-	-	2.31	0.002	CS人工智能指数	43700	平安基金	主题，新兴产业，人工智能
浙商之江凤凰ETF	512190	1.751	-0.0256	-0.0113	6.24	0.0447	-0.0152	0.0349	-	-	0.51	0.006	凤凰50指数	43717	浙商证券资管	主题，区域，浙江
沪深300红利ETF	512530	1.212	-0.0178	-0.0016	36.89	0.0297	0.01	0.0134	-	-	0.533	0.006	300红利指数	43731	建信基金	策略，红利
中银中证800ETF	515610	0.954	-0.0134	0.0032	20.48	0.0903	-0.1034	-0.0957	-	-	0.354	0.005	中证800指数	44061	中银基金	宽基，综合
央企创新ETF	515600	1.223	-0.0073	-0.0016	32.78	0.0234	-0.0907	0.12	-	-	17.26	0.002	央企创新指数	43817	广发基金	主题，央企
MSCI价值100ETF	515520	1.257	-0.0195	-0.0079	0.511	0.0617	-0.052	-0.0723	-	-	0.295	0.006	MSCI中国A股质优价值100指数	43787	大成基金	策略，低波动，价值
湾创100ETF	159979	1.051	0.0427	0.0416	3.73	0.0703	-0.1227	-0.1625	-	-	0.108	0.004	湾创100指数	43875	广发基金	主题，区域，大湾区
湾区100ETF	159984	1.071	-0.0165	-0.0129	10.01	0.0469	-0.1404	-0.2067	-	-	0.595	0.004	湾创100指数	43847	南方基金	主题，区域，大湾区
国企一带一路ETF	515990	1.28	-0.0184	0	7.13	0.0614	-0.0595	0.0079	-	-	1.08	0.002	国企带路指数	43845	汇添富基金	主题，国企，一带一路
红300ETF	517780	1.089	-0.0127	-0.01	3.88	0.0501	-	-	-	-	2.44	0.006	中华沪深港300人民币指数	44638	浦银安盛基金	宽基，大盘股
大湾区ETF	159978	1.052	-0.025	0.0019	27.73	0.0416	-0.0876	-0.1762	-	-	0.311	0.004	SHS大湾区人民币指数	43935	建信基金	主题，区域，大湾区
工银MSCI中国ETF	512320	1.004	-0.0138	-0.001	30.96	0.0807	-0.0963	-0.0996	-	-	0.305	0.006	MSCI中国A股人民币指数	44050	工银瑞信基金	MSCI
浙江100ETF	159815	1.05	-0.0141	-0.0038	4.61	0.1018	-0.1315	-0.1071	-	-	0.325	0.004	浙江100指数	44061	招商基金	主题，区域，浙江
沪港深500ETF指数	517010	0.891	-0.0198	-0.01	1.53	0.0507	-0.0814	-	-	-	0.439	0.002	沪港深500人民币指数	44420	易方达基金	宽基，大盘股
双创ETF基金	588310	0.772	-0.0178	-0.0039	14.42	0.0889	-0.1831	-	-	-	0.769	0.006	科创创业50指数	44532	方正富邦基金	宽基，中小盘
G60创新ETF	510770	0.848	-0.0117	0	29.18	0.0858	-0.1596	-	-	-	0.356	0.006	G60成指	44467	申万菱信基金	主题，区域
ESGETF	159717	0.953	-0.0155	-0.001	36.28	0.0793	-0.0828	-	-	-	0.476	0.006	ESG300指数	44468	鹏华基金	主题，ESG
开放共赢ETF	159719	1.03	-0.0144	-0.0134	9.05	-0.0144	0.0362	-	-	-	0.373	0.003	富时中国国企开放共赢指数	44558	平安基金	主题，国企
线上消费ETF平安	159793	0.802	-0.0184	0	33.53	0.0511	-0.162	-	-	-	0.601	0.006	SHS线上消费人民币指数	44524	平安基金	跨境，香港，消费
