名称	代码	最新价	日涨幅	溢价率	日均成交（万）	近一月	年初至今	近一年	近三年	近五年	规模（亿）	运作费率	跟踪指数	上市日期	基金公司	分类
中小盘ETF	510220	5.708	-0.0054	-0.0004	8.55	0.0598	-0.0792	-0.0049	0.4345	0.4263	0.258	0.006	上证中小指数	40630	华泰柏瑞基金	宽基，中小盘
智能电车ETF	159710	0.938	-0.0042	-0.0032	66.05	0.1523	-0.084	-	-	-	0.613	0.006	智能电车指数	44417	建信基金	主题，智能汽车
消费100ETF	159986	1.249	-0.0111	-0.0103	52.06	0.1092	-0.1326	-0.1617	-	-	0.748	0.004	中金消费指数	43850	弘毅远方基金	行业，消费
电子50ETF	515320	0.768	0.0052	-0.0026	2465.98	0.0039	-0.2637	-0.2637	-	-	1.88	0.006	电子50指数	44204	华安基金	行业，电子
中概科技ETF	517350	0.679	-0.0145	0.003	162.75	0.0795	-0.1888	-0.31	-	-	1.29	0.006	SHS科技龙头指数	44350	广发基金	主题，新兴产业，科技
港股互联网ETF	513770	0.907	-0.0268	-0.0022	16836.35	0.0981	-	-	-	-	6.07	0.006	HKC互联网指数	44610	华宝基金	跨境，香港，互联网
消电ETF	561310	0.737	0.0041	-0.0014	832.45	0.0222	-0.2674	-	-	-	0.94	0.006	消费电子指数	44525	国泰基金	主题，消费电子
游戏传媒ETF	517770	0.834	-0.02	-0.0048	298.99	0.0146	-0.1996	-	-	-	0.404	0.006	SHS游戏传媒人民币指数	44533	浦银安盛基金	主题，游戏，传媒
金融地产ETF基金	512640	1.858	-0.0101	0	50.52	0.0515	-0.0897	-0.108	-0.1144	0.0563	0.73	0.006	中证金融指数	41845	嘉实基金	行业，金融，房地产
芯片ETF基金	516920	0.728	0.0341	0.0168	1443.95	0.0445	-0.2164	-	-	-	3.87	0.002	芯片产业指数	44424	汇添富基金	行业，半导体，芯片
TMT50ETF	159909	0.624	-0.0016	-0.0032	28.97	0.0297	-0.2296	-0.2031	0.4583	0.2219	1.48	0.006	TMT50指数	40787	招商基金	行业，TMT
创300ETF	159836	0.947	-0.0094	-0.0032	139.83	0.126	-0.1708	-0.1367	-	-	0.603	0.006	创业300指数	44341	天弘基金	宽基，中小盘
创业大盘ETF	159814	0.543	-0.0055	0	1669.26	0.136	-0.162	-0.1932	-	-	2.57	0.006	创业大盘指数	44029	西部利得基金	宽基，中小盘
民企领先100ETF	159973	1.655	-0.0161	-0.0207	5.36	0.1048	-0.1239	-0.1303	-	-	5.69	0.005	民企100指数	43686	弘毅远方基金	主题，民企
中小100ETF	159902	4.445	-0.0091	-0.0004	548.65	0.1074	-0.1064	-0.0701	0.5575	0.3225	7.83	0.006	中小板指	38965	华夏基金	宽基，中小盘
500沪市ETF	510440	2.127	-0.0033	-0.0051	2.64	0.0646	-0.0756	0.009	0.3687	0.2182	0.41	0.006	500沪市指数	41190	大成基金	宽基，中小盘
深成长龙头ETF	159906	1.283	-0.0108	0.0008	429.47	0.1195	-0.157	-0.2143	0.5978	0.3449	1.09	0.006	成长40指数	40597	大成基金	策略，成长
一带一路国企ETF	515110	1.265	-0.0201	0.0008	1741.32	0.0604	-0.0431	0.0193	-	-	4.83	0.002	国企带路指数	43845	易方达基金	主题，国企，一带一路
红利100ETF	515100	1.518	-0.0124	-0.0007	1449.61	0.0013	0.004	0.1129	-	-	1.25	0.006	红利低波100指数	44015	景顺长城基金	策略，低波动，红利
消费电子ETF	159732	0.738	-0.004	-0.004	769.59	-0.0081	-0.3167	-	-	-	0.985	0.006	消费电子指数	44431	华夏基金	主题，消费电子
创中盘88ETF	159804	1.178	-0.0093	-0.0034	5.78	0.0847	-0.2168	-0.0811	-	-	2.1	0.004	创精选88指数	43921	国寿安保基金	策略，成长
港股通红利ETF	513530	0.986	-0.0286	-0.003	2571.64	-0.0618	-	-	-	-	3.04	0.006	港股通高股息港元指数	44676	华泰柏瑞基金	跨境，香港，红利
中证500增强ETF	560100	1	-0.0109	0.001	1494.15	0.0695	-	-	-	-	2.07	0.0055	中证500指数	44608	南方基金	宽基，中小盘
价值ETF	510030	0.797	-0.0185	0.0013	45.2	0.031	-0.0398	-0.0112	0.1864	0.3982	1.3	0.006	180价值指数	40326	华宝基金	策略，价值
京津冀ETF	512780	0.918	0.0066	0.0268	2.98	0.0338	-0.0575	0.0011	0.1236	-	0.135	0.006	CS京津冀指数	43244	广发基金	主题，区域
上证380ETF	510290	2.114	-0.0126	-0.0024	22.61	0.0612	-0.0908	0.0242	0.4972	0.3612	1.75	0.006	上证380指数	40855	南方基金	宽基，中小盘
